Error,d,Clase
0.11199999999999999,2,Bayes - Train diagonal
0.1038,2,Bayes - Test diagonal
0.10799999999999998,2,Bayes - Train paralelo
0.10619999999999996,2,Bayes - Test paralelo
0.09199999999999997,2,Bayes - Train diagonal
0.10299999999999998,2,Bayes - Test diagonal
0.12,2,Bayes - Train paralelo
0.10470000000000002,2,Bayes - Test paralelo
0.11199999999999999,2,Bayes - Train diagonal
0.10270000000000001,2,Bayes - Test diagonal
0.09999999999999998,2,Bayes - Train paralelo
0.10350000000000004,2,Bayes - Test paralelo
0.07599999999999996,2,Bayes - Train diagonal
0.1028,2,Bayes - Test diagonal
0.07199999999999995,2,Bayes - Train paralelo
0.10309999999999997,2,Bayes - Test paralelo
0.10799999999999998,2,Bayes - Train diagonal
0.10519999999999996,2,Bayes - Test diagonal
0.09199999999999997,2,Bayes - Train paralelo
0.10629999999999995,2,Bayes - Test paralelo
0.07999999999999996,2,Bayes - Train diagonal
0.10570000000000002,2,Bayes - Test diagonal
0.08799999999999997,2,Bayes - Train paralelo
0.1038,2,Bayes - Test paralelo
0.08799999999999997,2,Bayes - Train diagonal
0.10409999999999997,2,Bayes - Test diagonal
0.09599999999999997,2,Bayes - Train paralelo
0.10270000000000001,2,Bayes - Test paralelo
0.08799999999999997,2,Bayes - Train diagonal
0.10450000000000004,2,Bayes - Test diagonal
0.14,2,Bayes - Train paralelo
0.10440000000000005,2,Bayes - Test paralelo
0.10799999999999998,2,Bayes - Train diagonal
0.10470000000000002,2,Bayes - Test diagonal
0.07999999999999996,2,Bayes - Train paralelo
0.10299999999999998,2,Bayes - Test paralelo
0.08799999999999997,2,Bayes - Train diagonal
0.10409999999999997,2,Bayes - Test diagonal
0.07199999999999995,2,Bayes - Train paralelo
0.10340000000000005,2,Bayes - Test paralelo
0.07599999999999996,2,Bayes - Train diagonal
0.10719999999999996,2,Bayes - Test diagonal
0.09599999999999997,2,Bayes - Train paralelo
0.10350000000000004,2,Bayes - Test paralelo
0.10399999999999998,2,Bayes - Train diagonal
0.10870000000000002,2,Bayes - Test diagonal
0.07999999999999996,2,Bayes - Train paralelo
0.10460000000000003,2,Bayes - Test paralelo
0.09999999999999998,2,Bayes - Train diagonal
0.10299999999999998,2,Bayes - Test diagonal
0.16000000000000003,2,Bayes - Train paralelo
0.10350000000000004,2,Bayes - Test paralelo
0.09599999999999997,2,Bayes - Train diagonal
0.10270000000000001,2,Bayes - Test diagonal
0.07999999999999996,2,Bayes - Train paralelo
0.10419999999999996,2,Bayes - Test paralelo
0.09599999999999997,2,Bayes - Train diagonal
0.10609999999999997,2,Bayes - Test diagonal
0.124,2,Bayes - Train paralelo
0.10260000000000002,2,Bayes - Test paralelo
0.11599999999999999,2,Bayes - Train diagonal
0.1038,2,Bayes - Test diagonal
0.09199999999999997,2,Bayes - Train paralelo
0.1038,2,Bayes - Test paralelo
0.09999999999999998,2,Bayes - Train diagonal
0.10450000000000004,2,Bayes - Test diagonal
0.11199999999999999,2,Bayes - Train paralelo
0.1028,2,Bayes - Test paralelo
0.11199999999999999,2,Bayes - Train diagonal
0.10470000000000002,2,Bayes - Test diagonal
0.11599999999999999,2,Bayes - Train paralelo
0.10329999999999995,2,Bayes - Test paralelo
0.08399999999999996,2,Bayes - Train diagonal
0.10519999999999996,2,Bayes - Test diagonal
0.132,2,Bayes - Train paralelo
0.10360000000000003,2,Bayes - Test paralelo
0.136,2,Bayes - Train diagonal
0.10240000000000005,2,Bayes - Test diagonal
0.08799999999999997,2,Bayes - Train paralelo
0.10389999999999999,2,Bayes - Test paralelo
0.07999999999999996,4,Bayes - Train diagonal
0.10340000000000005,4,Bayes - Test diagonal
0.10399999999999998,4,Bayes - Train paralelo
0.09760000000000002,4,Bayes - Test paralelo
0.07599999999999996,4,Bayes - Train diagonal
0.10299999999999998,4,Bayes - Test diagonal
0.10799999999999998,4,Bayes - Train paralelo
0.09740000000000004,4,Bayes - Test paralelo
0.09599999999999997,4,Bayes - Train diagonal
0.10419999999999996,4,Bayes - Test diagonal
0.11599999999999999,4,Bayes - Train paralelo
0.09960000000000002,4,Bayes - Test paralelo
0.09599999999999997,4,Bayes - Train diagonal
0.10199999999999998,4,Bayes - Test diagonal
0.08799999999999997,4,Bayes - Train paralelo
0.09970000000000001,4,Bayes - Test paralelo
0.06399999999999995,4,Bayes - Train diagonal
0.10209999999999997,4,Bayes - Test diagonal
0.08799999999999997,4,Bayes - Train paralelo
0.09799999999999998,4,Bayes - Test paralelo
0.11199999999999999,4,Bayes - Train diagonal
0.10089999999999999,4,Bayes - Test diagonal
0.07599999999999996,4,Bayes - Train paralelo
0.0998,4,Bayes - Test paralelo
0.08799999999999997,4,Bayes - Train diagonal
0.10099999999999998,4,Bayes - Test diagonal
0.12,4,Bayes - Train paralelo
0.10229999999999995,4,Bayes - Test paralelo
0.09599999999999997,4,Bayes - Train diagonal
0.10240000000000005,4,Bayes - Test diagonal
0.12,4,Bayes - Train paralelo
0.10009999999999997,4,Bayes - Test paralelo
0.09599999999999997,4,Bayes - Train diagonal
0.10370000000000001,4,Bayes - Test diagonal
0.09999999999999998,4,Bayes - Train paralelo
0.0988,4,Bayes - Test paralelo
0.124,4,Bayes - Train diagonal
0.09909999999999997,4,Bayes - Test diagonal
0.10799999999999998,4,Bayes - Train paralelo
0.09650000000000003,4,Bayes - Test paralelo
0.11199999999999999,4,Bayes - Train diagonal
0.10289999999999999,4,Bayes - Test diagonal
0.09199999999999997,4,Bayes - Train paralelo
0.09819999999999995,4,Bayes - Test paralelo
0.08399999999999996,4,Bayes - Train diagonal
0.10099999999999998,4,Bayes - Test diagonal
0.124,4,Bayes - Train paralelo
0.09850000000000003,4,Bayes - Test paralelo
0.07599999999999996,4,Bayes - Train diagonal
0.10450000000000004,4,Bayes - Test diagonal
0.11199999999999999,4,Bayes - Train paralelo
0.10519999999999996,4,Bayes - Test paralelo
0.07599999999999996,4,Bayes - Train diagonal
0.10050000000000003,4,Bayes - Test diagonal
0.07999999999999996,4,Bayes - Train paralelo
0.09909999999999997,4,Bayes - Test paralelo
0.132,4,Bayes - Train diagonal
0.10529999999999995,4,Bayes - Test diagonal
0.09999999999999998,4,Bayes - Train paralelo
0.09740000000000004,4,Bayes - Test paralelo
0.11599999999999999,4,Bayes - Train diagonal
0.0998,4,Bayes - Test diagonal
0.09199999999999997,4,Bayes - Train paralelo
0.09799999999999998,4,Bayes - Test paralelo
0.08799999999999997,4,Bayes - Train diagonal
0.10129999999999995,4,Bayes - Test diagonal
0.11199999999999999,4,Bayes - Train paralelo
0.10140000000000005,4,Bayes - Test paralelo
0.11199999999999999,4,Bayes - Train diagonal
0.10519999999999996,4,Bayes - Test diagonal
0.09599999999999997,4,Bayes - Train paralelo
0.10040000000000004,4,Bayes - Test paralelo
0.05600000000000005,4,Bayes - Train diagonal
0.10140000000000005,4,Bayes - Test diagonal
0.09599999999999997,4,Bayes - Train paralelo
0.09970000000000001,4,Bayes - Test paralelo
0.10799999999999998,4,Bayes - Train diagonal
0.10509999999999997,4,Bayes - Test diagonal
0.07199999999999995,4,Bayes - Train paralelo
0.09789999999999999,4,Bayes - Test paralelo
0.11199999999999999,8,Bayes - Train diagonal
0.10829999999999995,8,Bayes - Test diagonal
0.08799999999999997,8,Bayes - Train paralelo
0.10160000000000002,8,Bayes - Test paralelo
0.09199999999999997,8,Bayes - Train diagonal
0.10140000000000005,8,Bayes - Test diagonal
0.08399999999999996,8,Bayes - Train paralelo
0.10009999999999997,8,Bayes - Test paralelo
0.08799999999999997,8,Bayes - Train diagonal
0.10289999999999999,8,Bayes - Test diagonal
0.10399999999999998,8,Bayes - Train paralelo
0.09950000000000003,8,Bayes - Test paralelo
0.09199999999999997,8,Bayes - Train diagonal
0.10260000000000002,8,Bayes - Test diagonal
0.08799999999999997,8,Bayes - Train paralelo
0.09809999999999997,8,Bayes - Test paralelo
0.08799999999999997,8,Bayes - Train diagonal
0.10029999999999994,8,Bayes - Test diagonal
0.07599999999999996,8,Bayes - Train paralelo
0.09850000000000003,8,Bayes - Test paralelo
0.08399999999999996,8,Bayes - Train diagonal
0.10460000000000003,8,Bayes - Test diagonal
0.10799999999999998,8,Bayes - Train paralelo
0.10550000000000004,8,Bayes - Test paralelo
0.10399999999999998,8,Bayes - Train diagonal
0.10619999999999996,8,Bayes - Test diagonal
0.07199999999999995,8,Bayes - Train paralelo
0.09789999999999999,8,Bayes - Test paralelo
0.09199999999999997,8,Bayes - Train diagonal
0.10519999999999996,8,Bayes - Test diagonal
0.07999999999999996,8,Bayes - Train paralelo
0.10150000000000003,8,Bayes - Test paralelo
0.11199999999999999,8,Bayes - Train diagonal
0.10429999999999995,8,Bayes - Test diagonal
0.10799999999999998,8,Bayes - Train paralelo
0.09860000000000002,8,Bayes - Test paralelo
0.07199999999999995,8,Bayes - Train diagonal
0.11040000000000005,8,Bayes - Test diagonal
0.07199999999999995,8,Bayes - Train paralelo
0.10119999999999996,8,Bayes - Test paralelo
0.06399999999999995,8,Bayes - Train diagonal
0.10540000000000005,8,Bayes - Test diagonal
0.10399999999999998,8,Bayes - Train paralelo
0.10070000000000001,8,Bayes - Test paralelo
0.09999999999999998,8,Bayes - Train diagonal
0.10289999999999999,8,Bayes - Test diagonal
0.11199999999999999,8,Bayes - Train paralelo
0.09899999999999998,8,Bayes - Test paralelo
0.08799999999999997,8,Bayes - Train diagonal
0.10199999999999998,8,Bayes - Test diagonal
0.07599999999999996,8,Bayes - Train paralelo
0.10850000000000004,8,Bayes - Test paralelo
0.10399999999999998,8,Bayes - Train diagonal
0.10399999999999998,8,Bayes - Test diagonal
0.09999999999999998,8,Bayes - Train paralelo
0.1049,8,Bayes - Test paralelo
0.10399999999999998,8,Bayes - Train diagonal
0.10160000000000002,8,Bayes - Test diagonal
0.08799999999999997,8,Bayes - Train paralelo
0.09870000000000001,8,Bayes - Test paralelo
0.11599999999999999,8,Bayes - Train diagonal
0.10529999999999995,8,Bayes - Test diagonal
0.08399999999999996,8,Bayes - Train paralelo
0.09799999999999998,8,Bayes - Test paralelo
0.10799999999999998,8,Bayes - Train diagonal
0.10819999999999996,8,Bayes - Test diagonal
0.12,8,Bayes - Train paralelo
0.10129999999999995,8,Bayes - Test paralelo
0.11599999999999999,8,Bayes - Train diagonal
0.10370000000000001,8,Bayes - Test diagonal
0.09599999999999997,8,Bayes - Train paralelo
0.10029999999999994,8,Bayes - Test paralelo
0.09199999999999997,8,Bayes - Train diagonal
0.10550000000000004,8,Bayes - Test diagonal
0.07599999999999996,8,Bayes - Train paralelo
0.09889999999999999,8,Bayes - Test paralelo
0.10399999999999998,8,Bayes - Train diagonal
0.10860000000000003,8,Bayes - Test diagonal
0.09199999999999997,8,Bayes - Train paralelo
0.09719999999999995,8,Bayes - Test paralelo
0.11199999999999999,16,Bayes - Train diagonal
0.11240000000000006,16,Bayes - Test diagonal
0.08399999999999996,16,Bayes - Train paralelo
0.10999999999999999,16,Bayes - Test paralelo
0.10799999999999998,16,Bayes - Train diagonal
0.11650000000000005,16,Bayes - Test diagonal
0.12,16,Bayes - Train paralelo
0.11719999999999997,16,Bayes - Test paralelo
0.10799999999999998,16,Bayes - Train diagonal
0.11639999999999995,16,Bayes - Test diagonal
0.124,16,Bayes - Train paralelo
0.11229999999999996,16,Bayes - Test paralelo
0.07599999999999996,16,Bayes - Train diagonal
0.11329999999999996,16,Bayes - Test diagonal
0.07199999999999995,16,Bayes - Train paralelo
0.10809999999999997,16,Bayes - Test paralelo
0.07599999999999996,16,Bayes - Train diagonal
0.1119,16,Bayes - Test diagonal
0.136,16,Bayes - Train paralelo
0.11480000000000001,16,Bayes - Test paralelo
0.07199999999999995,16,Bayes - Train diagonal
0.11609999999999998,16,Bayes - Test diagonal
0.07599999999999996,16,Bayes - Train paralelo
0.12139999999999995,16,Bayes - Test paralelo
0.10399999999999998,16,Bayes - Train diagonal
0.11250000000000004,16,Bayes - Test diagonal
0.11199999999999999,16,Bayes - Train paralelo
0.10740000000000005,16,Bayes - Test paralelo
0.07999999999999996,16,Bayes - Train diagonal
0.11339999999999995,16,Bayes - Test diagonal
0.05600000000000005,16,Bayes - Train paralelo
0.10829999999999995,16,Bayes - Test paralelo
0.09999999999999998,16,Bayes - Train diagonal
0.11729999999999996,16,Bayes - Test diagonal
