Error,d,Clase
0.0,2,"KNN, k = 1 - Train diagonal"
0.1482,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.14380000000000004,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.15439999999999998,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.16080000000000005,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.15869999999999995,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.15059999999999996,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.14280000000000004,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.1632,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.16979999999999995,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.14800000000000002,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.13980000000000004,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.14329999999999998,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.1642,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.14970000000000006,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.1361,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.139,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.1269,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.15269999999999995,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.13970000000000005,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.13490000000000002,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.14390000000000003,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.1251,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.13119999999999998,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.14859999999999995,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.15890000000000004,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.12839999999999996,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.13290000000000002,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.16710000000000003,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.13780000000000003,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.15180000000000005,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.15000000000000002,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.14280000000000004,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.139,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.15080000000000005,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.15800000000000003,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.15510000000000002,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.14029999999999998,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.15200000000000002,2,"KNN, k = 1 - Test paralelo"
0.0,2,"KNN, k = 1 - Train diagonal"
0.12190000000000001,2,"KNN, k = 1 - Test diagonal"
0.0,2,"KNN, k = 1 - Train paralelo"
0.17420000000000002,2,"KNN, k = 1 - Test paralelo"
0.05600000000000005,2,"KNN, k = 3 - Train diagonal"
0.12319999999999998,2,"KNN, k = 3 - Test diagonal"
0.04400000000000004,2,"KNN, k = 3 - Train paralelo"
0.12470000000000003,2,"KNN, k = 3 - Test paralelo"
0.08799999999999997,2,"KNN, k = 3 - Train diagonal"
0.12009999999999998,2,"KNN, k = 3 - Test diagonal"
0.08399999999999996,2,"KNN, k = 3 - Train paralelo"
0.12070000000000003,2,"KNN, k = 3 - Test paralelo"
0.09599999999999997,2,"KNN, k = 3 - Train diagonal"
0.11180000000000001,2,"KNN, k = 3 - Test diagonal"
0.09599999999999997,2,"KNN, k = 3 - Train paralelo"
0.1279,2,"KNN, k = 3 - Test paralelo"
0.04400000000000004,2,"KNN, k = 3 - Train diagonal"
0.11150000000000004,2,"KNN, k = 3 - Test diagonal"
0.06799999999999995,2,"KNN, k = 3 - Train paralelo"
0.11360000000000003,2,"KNN, k = 3 - Test paralelo"
