Error,d,Clase
0.05600000000000005,2,Traindiagonal
0.123,2,Testdiagonal
0.07199999999999995,2,Trainparalelo
0.12639999999999996,2,Testparalelo
0.10799999999999998,2,Traindiagonal
0.13429999999999997,2,Testdiagonal
0.08799999999999997,2,Trainparalelo
0.15659999999999996,2,Testparalelo
0.05600000000000005,2,Traindiagonal
0.11609999999999998,2,Testdiagonal
0.06000000000000005,2,Trainparalelo
0.1311,2,Testparalelo
0.06399999999999995,2,Traindiagonal
0.12039999999999995,2,Testdiagonal
0.04400000000000004,2,Trainparalelo
0.119,2,Testparalelo
0.04400000000000004,2,Traindiagonal
0.12409999999999999,2,Testdiagonal
0.06000000000000005,2,Trainparalelo
0.11599999999999999,2,Testparalelo
0.052000000000000046,2,Traindiagonal
0.12490000000000001,2,Testdiagonal
0.04800000000000004,2,Trainparalelo
0.12239999999999995,2,Testparalelo
0.08399999999999996,2,Traindiagonal
0.11629999999999996,2,Testdiagonal
0.06799999999999995,2,Trainparalelo
0.12419999999999998,2,Testparalelo
0.07599999999999996,2,Traindiagonal
0.11909999999999998,2,Testdiagonal
0.07199999999999995,2,Trainparalelo
0.15610000000000002,2,Testparalelo
0.06000000000000005,2,Traindiagonal
0.12250000000000005,2,Testdiagonal
0.07599999999999996,2,Trainparalelo
0.124,2,Testparalelo
0.07999999999999996,2,Traindiagonal
0.12919999999999998,2,Testdiagonal
0.052000000000000046,2,Trainparalelo
0.12380000000000002,2,Testparalelo
0.06799999999999995,2,Traindiagonal
0.11739999999999995,2,Testdiagonal
0.07999999999999996,2,Trainparalelo
0.1411,2,Testparalelo
0.07199999999999995,2,Traindiagonal
0.1382,2,Testdiagonal
0.05600000000000005,2,Trainparalelo
0.122,2,Testparalelo
0.06799999999999995,2,Traindiagonal
0.1473,2,Testdiagonal
0.06799999999999995,2,Trainparalelo
0.13660000000000005,2,Testparalelo
0.07599999999999996,2,Traindiagonal
0.13029999999999997,2,Testdiagonal
0.09599999999999997,2,Trainparalelo
0.1269,2,Testparalelo
0.09199999999999997,2,Traindiagonal
0.121,2,Testdiagonal
0.06399999999999995,2,Trainparalelo
0.11260000000000003,2,Testparalelo
0.06799999999999995,2,Traindiagonal
0.14129999999999998,2,Testdiagonal
0.06000000000000005,2,Trainparalelo
0.11529999999999996,2,Testparalelo
0.06399999999999995,2,Traindiagonal
0.12219999999999998,2,Testdiagonal
0.07599999999999996,2,Trainparalelo
0.10550000000000004,2,Testparalelo
0.08799999999999997,2,Traindiagonal
0.11309999999999998,2,Testdiagonal
0.07199999999999995,2,Trainparalelo
0.10450000000000004,2,Testparalelo
0.06000000000000005,2,Traindiagonal
0.12290000000000001,2,Testdiagonal
0.06799999999999995,2,Trainparalelo
0.13759999999999994,2,Testparalelo
0.06799999999999995,2,Traindiagonal
0.12970000000000004,2,Testdiagonal
0.06000000000000005,2,Trainparalelo
0.14459999999999995,2,Testparalelo
0.07599999999999996,4,Traindiagonal
0.18530000000000002,4,Testdiagonal
0.05600000000000005,4,Trainparalelo
0.15749999999999997,4,Testparalelo
0.07599999999999996,4,Traindiagonal
0.14890000000000003,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.19520000000000004,4,Testparalelo
0.06399999999999995,4,Traindiagonal
0.16590000000000005,4,Testdiagonal
0.04400000000000004,4,Trainparalelo
0.12039999999999995,4,Testparalelo
0.06000000000000005,4,Traindiagonal
0.17500000000000004,4,Testdiagonal
0.05600000000000005,4,Trainparalelo
0.1735,4,Testparalelo
0.06000000000000005,4,Traindiagonal
0.18300000000000005,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.14559999999999995,4,Testparalelo
0.05600000000000005,4,Traindiagonal
0.1572,4,Testdiagonal
0.06399999999999995,4,Trainparalelo
0.16149999999999998,4,Testparalelo
0.08399999999999996,4,Traindiagonal
0.17010000000000003,4,Testdiagonal
0.04400000000000004,4,Trainparalelo
0.11850000000000005,4,Testparalelo
0.052000000000000046,4,Traindiagonal
0.1542,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.14500000000000002,4,Testparalelo
0.05600000000000005,4,Traindiagonal
0.1614,4,Testdiagonal
0.03200000000000003,4,Trainparalelo
0.11319999999999997,4,Testparalelo
0.052000000000000046,4,Traindiagonal
0.14590000000000003,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.14759999999999995,4,Testparalelo
0.09199999999999997,4,Traindiagonal
0.16969999999999996,4,Testdiagonal
0.07199999999999995,4,Trainparalelo
0.1513,4,Testparalelo
0.06399999999999995,4,Traindiagonal
0.17090000000000005,4,Testdiagonal
0.04400000000000004,4,Trainparalelo
0.14759999999999995,4,Testparalelo
0.07599999999999996,4,Traindiagonal
0.16410000000000002,4,Testdiagonal
0.07999999999999996,4,Trainparalelo
0.17820000000000003,4,Testparalelo
0.08799999999999997,4,Traindiagonal
0.21209999999999996,4,Testdiagonal
0.07999999999999996,4,Trainparalelo
0.12939999999999996,4,Testparalelo
0.07999999999999996,4,Traindiagonal
0.16300000000000003,4,Testdiagonal
0.04800000000000004,4,Trainparalelo
0.14490000000000003,4,Testparalelo
0.08799999999999997,4,Traindiagonal
0.18489999999999995,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.13539999999999996,4,Testparalelo
0.05600000000000005,4,Traindiagonal
0.16269999999999996,4,Testdiagonal
0.05600000000000005,4,Trainparalelo
0.13870000000000005,4,Testparalelo
0.06399999999999995,4,Traindiagonal
0.1794,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.15200000000000002,4,Testparalelo
0.07199999999999995,4,Traindiagonal
0.15949999999999998,4,Testdiagonal
