Error,d,Clase
0.052000000000000046,2,Redes - Train diagonal
0.11439999999999995,2,Redes - Test diagonal
0.09199999999999997,2,Redes - Train paralelo
0.11419999999999997,2,Redes - Test paralelo
0.07599999999999996,2,Redes - Train diagonal
0.11209999999999998,2,Redes - Test diagonal
0.07199999999999995,2,Redes - Train paralelo
0.11199999999999999,2,Redes - Test paralelo
0.052000000000000046,2,Redes - Train diagonal
0.09750000000000003,2,Redes - Test diagonal
0.10799999999999998,2,Redes - Train paralelo
0.11280000000000001,2,Redes - Test paralelo
0.09599999999999997,2,Redes - Train diagonal
0.10560000000000003,2,Redes - Test diagonal
0.07599999999999996,2,Redes - Train paralelo
0.11439999999999995,2,Redes - Test paralelo
0.08799999999999997,2,Redes - Train diagonal
0.11240000000000006,2,Redes - Test diagonal
0.07599999999999996,2,Redes - Train paralelo
0.1079,2,Redes - Test paralelo
0.06799999999999995,2,Redes - Train diagonal
0.1008,2,Redes - Test diagonal
0.06399999999999995,2,Redes - Train paralelo
0.11950000000000005,2,Redes - Test paralelo
0.07999999999999996,2,Redes - Train diagonal
0.10440000000000005,2,Redes - Test diagonal
0.09599999999999997,2,Redes - Train paralelo
0.10840000000000005,2,Redes - Test paralelo
0.09999999999999998,2,Redes - Train diagonal
0.10350000000000004,2,Redes - Test diagonal
0.08799999999999997,2,Redes - Train paralelo
0.1179,2,Redes - Test paralelo
0.08799999999999997,2,Redes - Train diagonal
0.11119999999999997,2,Redes - Test diagonal
0.07199999999999995,2,Redes - Train paralelo
0.10870000000000002,2,Redes - Test paralelo
0.09999999999999998,2,Redes - Train diagonal
0.10109999999999997,2,Redes - Test diagonal
0.08799999999999997,2,Redes - Train paralelo
0.11639999999999995,2,Redes - Test paralelo
0.08799999999999997,2,Redes - Train diagonal
0.1078,2,Redes - Test diagonal
0.07999999999999996,2,Redes - Train paralelo
0.12450000000000006,2,Redes - Test paralelo
0.07999999999999996,2,Redes - Train diagonal
0.11629999999999996,2,Redes - Test diagonal
0.10399999999999998,2,Redes - Train paralelo
0.12090000000000001,2,Redes - Test paralelo
0.10399999999999998,2,Redes - Train diagonal
0.10950000000000004,2,Redes - Test diagonal
0.14,2,Redes - Train paralelo
0.11119999999999997,2,Redes - Test paralelo
0.08399999999999996,2,Redes - Train diagonal
0.10040000000000004,2,Redes - Test diagonal
0.07999999999999996,2,Redes - Train paralelo
0.11329999999999996,2,Redes - Test paralelo
0.06000000000000005,2,Redes - Train diagonal
0.0978,2,Redes - Test diagonal
0.10399999999999998,2,Redes - Train paralelo
0.12949999999999995,2,Redes - Test paralelo
0.06399999999999995,2,Redes - Train diagonal
0.12419999999999998,2,Redes - Test diagonal
0.09199999999999997,2,Redes - Train paralelo
0.10540000000000005,2,Redes - Test paralelo
0.09599999999999997,2,Redes - Train diagonal
0.11419999999999997,2,Redes - Test diagonal
0.09199999999999997,2,Redes - Train paralelo
0.11480000000000001,2,Redes - Test paralelo
0.07999999999999996,2,Redes - Train diagonal
0.11119999999999997,2,Redes - Test diagonal
0.07999999999999996,2,Redes - Train paralelo
0.10519999999999996,2,Redes - Test paralelo
0.08399999999999996,2,Redes - Train diagonal
0.11570000000000003,2,Redes - Test diagonal
0.128,2,Redes - Train paralelo
0.10570000000000002,2,Redes - Test paralelo
0.08799999999999997,2,Redes - Train diagonal
0.10550000000000004,2,Redes - Test diagonal
0.07199999999999995,2,Redes - Train paralelo
0.11670000000000003,2,Redes - Test paralelo
0.06799999999999995,4,Redes - Train diagonal
0.12229999999999996,4,Redes - Test diagonal
0.03600000000000003,4,Redes - Train paralelo
0.1401,4,Redes - Test paralelo
0.016000000000000014,4,Redes - Train diagonal
0.13419999999999999,4,Redes - Test diagonal
0.028000000000000025,4,Redes - Train paralelo
0.15910000000000002,4,Redes - Test paralelo
0.020000000000000018,4,Redes - Train diagonal
0.14870000000000005,4,Redes - Test diagonal
0.052000000000000046,4,Redes - Train paralelo
0.12519999999999998,4,Redes - Test paralelo
0.05600000000000005,4,Redes - Train diagonal
0.14229999999999998,4,Redes - Test diagonal
0.06399999999999995,4,Redes - Train paralelo
0.1522,4,Redes - Test paralelo
0.06399999999999995,4,Redes - Train diagonal
0.1371,4,Redes - Test diagonal
0.06000000000000005,4,Redes - Train paralelo
0.12460000000000004,4,Redes - Test paralelo
0.03600000000000003,4,Redes - Train diagonal
0.13460000000000005,4,Redes - Test diagonal
0.016000000000000014,4,Redes - Train paralelo
0.14800000000000002,4,Redes - Test paralelo
0.07199999999999995,4,Redes - Train diagonal
0.11680000000000001,4,Redes - Test diagonal
0.02400000000000002,4,Redes - Train paralelo
0.12760000000000005,4,Redes - Test paralelo
